skewness,song,spectral_rolloff,energy,spread,centroid,zcr,genre,kurtosis
1.502369e+00,electronic_vs_classical/09 - Beyond.mp3,4.402194e+03,2.482435e-01,2.971508e+03,2.201773e+03,3.485107e-02,electronic,-3.743114e+00
1.138046e+00,electronic_vs_classical/09 - Beyond.mp3,2.505927e+03,2.136168e-01,3.742858e+03,2.783843e+03,1.919556e-02,electronic,-5.324103e+00
1.683547e+00,electronic_vs_classical/09 - Beyond.mp3,1.411771e+03,1.978782e-01,3.093513e+03,2.142853e+03,4.449463e-02,electronic,-2.497569e+00
6.068516e-01,electronic_vs_classical/09 - Beyond.mp3,1.212858e+04,2.183301e-01,3.956947e+03,3.826756e+03,4.544067e-02,electronic,-1.193878e+01
3.125146e+00,electronic_vs_classical/12 - Doin' it right.mp3,2.407681e+03,1.128772e-01,1.376478e+03,1.039198e+03,2.590942e-02,electronic,9.292140e+00
3.142007e+00,electronic_vs_classical/12 - Doin' it right.mp3,3.219214e+03,1.059770e-01,1.207907e+03,1.267101e+03,4.669189e-02,electronic,4.049780e+00
3.512280e+00,electronic_vs_classical/12 - Doin' it right.mp3,1.399658e+03,2.089989e-01,1.278984e+03,9.545968e+02,1.593018e-02,electronic,1.285671e+01
1.164639e+00,electronic_vs_classical/12 - Doin' it right.mp3,1.172348e+04,1.489425e-01,3.419554e+03,3.149253e+03,8.108521e-02,electronic,-9.268877e+00
8.474520e-01,electronic_vs_classical/12 - Doin' it right.mp3,9.325223e+03,1.279402e-01,3.253646e+03,3.586543e+03,7.604980e-02,electronic,-1.644826e+01
1.127934e+00,electronic_vs_classical/12 - Doin' it right.mp3,1.287955e+04,1.650074e-01,3.434786e+03,3.324168e+03,8.728027e-02,electronic,-1.080986e+01
1.360222e+00,electronic_vs_classical/12 - Doin' it right.mp3,6.859671e+03,2.694821e-01,3.308740e+03,2.771052e+03,3.616333e-02,electronic,-6.433679e+00
2.179228e+00,electronic_vs_classical/12 - Doin' it right.mp3,2.442673e+03,2.487696e-01,2.688657e+03,1.772224e+03,2.685547e-02,electronic,2.869392e-01
1.233547e+00,electronic_vs_classical/12 - Doin' it right.mp3,6.637610e+03,2.595677e-01,3.384796e+03,2.900716e+03,3.005981e-02,electronic,-7.278992e+00
6.433103e-01,electronic_vs_classical/12 - Doin' it right.mp3,5.100677e+02,3.319565e-01,4.063681e+03,3.708555e+03,1.861572e-02,electronic,-1.028651e+01
2.528991e-01,electronic_vs_classical/10-beethoven-choral-atm.mp3,2.038925e+04,3.340796e-05,5.108820e+03,6.632805e+03,1.855469e-02,classical,-2.843405e+01
3.938706e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,2.551685e+03,1.038188e-02,1.591617e+03,1.112718e+03,5.221558e-02,classical,1.677111e+01
3.726439e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,2.234070e+03,3.586218e-02,1.414508e+03,1.011185e+03,2.188110e-02,classical,1.512747e+01
3.657852e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,2.514001e+03,2.487916e-02,1.277270e+03,9.894998e+02,2.951050e-02,classical,1.529393e+01
2.567680e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,3.935193e+03,2.462595e-02,1.977758e+03,1.615760e+03,5.197144e-02,classical,1.326671e+00
3.062383e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,2.940628e+03,3.698279e-02,1.614751e+03,1.226988e+03,3.964233e-02,classical,7.109920e+00
3.476390e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,2.368652e+03,4.566184e-02,1.319165e+03,9.875363e+02,3.265381e-02,classical,1.191289e+01
4.691101e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,1.998550e+03,1.183940e-02,1.629057e+03,1.014795e+03,2.301025e-02,classical,2.462290e+01
4.496348e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,1.585382e+03,1.156867e-02,1.562687e+03,1.072026e+03,3.594971e-02,classical,2.173597e+01
1.700086e+00,electronic_vs_classical/10-beethoven-choral-atm.mp3,5.826077e+03,6.743067e-02,2.838099e+03,2.421455e+03,6.066895e-02,classical,-5.268374e+00
2.405954e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.247580e+03,2.002027e-01,2.475036e+03,1.384366e+03,1.812744e-02,electronic,2.647662e+00
1.638049e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,2.495160e+03,1.858367e-01,2.645182e+03,1.896333e+03,3.942871e-02,electronic,-2.696265e+00
6.203649e-01,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.260904e+04,4.306060e-02,3.661474e+03,3.813558e+03,1.389465e-01,electronic,-1.447186e+01
2.333048e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.001294e+03,2.300195e-01,1.718729e+03,1.062071e+03,2.008057e-02,electronic,3.044112e+00
2.108554e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.061856e+03,2.207400e-01,1.890963e+03,1.177754e+03,2.023315e-02,electronic,9.725028e-01
1.865235e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.826285e+03,2.508611e-01,1.989897e+03,1.367117e+03,1.968384e-02,electronic,-6.466880e-01
3.231192e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,4.952637e+02,2.677014e-01,2.118827e+03,9.068271e+02,1.254272e-02,electronic,8.829587e+00
2.892515e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.756302e+03,1.884898e-01,1.718314e+03,1.195083e+03,2.380371e-02,electronic,6.151311e+00
1.963910e+00,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.213934e+03,1.862245e-01,2.408310e+03,1.527229e+03,2.459717e-02,electronic,-3.584189e-01
9.490624e-01,electronic_vs_classical/03 - Giorgio by moroder.mp3,1.089311e+04,2.658852e-01,3.058505e+03,3.148137e+03,9.323120e-02,electronic,-1.317258e+01
8.527720e+00,electronic_vs_classical/04-beethoven-pathetique-atm.mp3,8.949738e+02,4.582008e-02,8.144378e+02,6.545907e+02,3.051758e-02,classical,1.048527e+02
